F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename,sid,uid,gender,target_human,target_asv
20.408094,0.051118817,19.953081,20.498621,21.356504,1.4034233,13.183189,15.114459,16.990885,7.7057204,0.20771568,1.2211536,0.02889806,0.0828154,0.362054,0.33315593,1.6933596,1.3455489,3.4080968,2.1387403,0.039605785,1.6002859,4.7967067,3.0829022,-3.4095304,-4.1341853,12.278443,1.1366881,-2.1180437,-5.346163,0.007803975,0.81082547,1.339558,0.5832333,3.2006466,0.4102334,0.8071567,2.7578433,4.508644,2.0429373,732.6587,0.39280742,1198.4639,0.14614628,-163.85219,-0.45567188,1778.4182,0.17183754,935.5685,0.30925918,-162.56636,-0.46183798,2723.5627,0.103694685,873.56866,0.1864363,-163.09373,-0.45311323,-5.28049,-0.8457782,11.576335,0.40700305,0.024614913,0.645928,-0.008519853,-1.4858757,0.108547226,0.7074956,24.691498,0.3149808,-19.64617,-0.81262,13.276512,1.1968764,-11.6202755,-1.2365336,-6.8879347,16.708551,-0.015747849,0.015457805,0.024025582,1.3245033,1.6835017,0.103999995,0.08039901,0.39,0.48273525,-37.01046,audio/S/p256_055_mic2.wav,p256,055,male,sheep,sheep
33.978565,0.13050233,31.188496,33.275238,35.31144,4.122944,182.19672,189.50815,-0.18184154,10.429616,0.3356383,0.86912525,0.03405771,0.30530953,0.5695339,0.53547615,6.170479,3.1968343,5.14211,2.5283513,0.09079272,1.0201032,8.619062,2.264657,-3.8745868,-3.4762394,3.1623106,4.681586,-12.1669655,-1.2967613,0.014936,1.345719,1.1359507,0.752154,7.2866035,0.5114834,-1.8394067,-4.780554,16.121508,0.5589803,612.34186,0.46106428,1260.582,0.14391288,-120.3067,-0.78257036,1712.2756,0.19634333,935.95764,0.24586876,-114.7738,-0.7868346,2723.4907,0.13228716,1040.6044,0.33598146,-115.09684,-0.7715742,-6.249195,-1.3273584,15.296064,0.7173735,0.047815654,0.3555114,-0.013920863,-1.2502449,0.14231677,0.63911694,19.91867,0.77907956,-8.915221,-1.6342673,4.767592,4.049994,-23.894964,-0.5575848,-2.27088,12.146127,0.010138548,0.013127482,0.048791297,4.166667,3.3333335,0.12636364,0.084667556,0.15363635,0.24429017,-32.89147,audio/S/p269_037_mic2.wav,p269,037,female,sheep,sheep
27.124998,0.06938747,25.658459,26.335474,28.969875,3.3114166,13.01473,4.7480774,29.86813,32.839424,0.28592,1.0366083,0.02563538,0.17811577,0.5654112,0.53977585,6.278286,2.8280442,5.99479,2.2488515,0.07404109,1.2372762,14.330216,1.1878029,-3.5331671,-3.0797834,5.5128837,2.4043548,-6.932133,-2.2744646,0.008348949,0.8873984,1.2269906,0.72528964,5.95081,0.38468602,-2.4260273,-1.935317,13.784414,0.63853693,584.8285,0.3969247,1304.0704,0.1548154,-126.18083,-0.7400686,1627.7772,0.17160141,1009.13153,0.2760547,-125.54921,-0.71927345,2645.1177,0.09568528,935.84406,0.28740272,-127.45885,-0.6908169,-8.022901,-0.7444029,17.33208,0.42381153,0.03742733,0.428937,-0.011481246,-1.4021473,0.13143687,0.6970024,26.300667,0.42451793,-9.132107,-1.2875828,11.4157095,1.3773861,-16.409657,-0.99224895,-9.35454,21.339521,-0.005517779,0.014495342,0.039935123,3.3898304,2.4137933,0.15142857,0.10006121,0.21124999,0.28051013,-33.23956,audio/S/p279_232_mic2.wav,p279,232,male,sheep,goat
36.304398,0.06827055,33.983032,35.57841,39.57478,5.5917473,88.2221,90.75855,27.597826,19.107548,0.23933896,0.9581541,0.026584685,0.22752473,0.38711584,0.36053115,4.024224,2.1432595,2.739521,2.2019925,0.059795905,1.2036705,12.796052,1.1718993,-3.5702255,-3.268711,4.4655247,3.114838,-19.869745,-1.1654235,0.013195409,1.7058202,0.88319075,0.88253295,10.47721,0.31423986,10.535118,1.4406519,22.26333,0.52980715,573.24695,0.37738326,1323.2028,0.15592656,-128.4322,-0.73331046,1639.917,0.14722781,999.58624,0.29090124,-117.30991,-0.77474546,2641.3826,0.1093647,802.9006,0.313809,-116.77171,-0.78208536,-13.745014,-0.4917554,21.247301,0.2812397,0.044338632,0.474604,-0.018823246,-1.1730127,0.09491146,0.7520505,25.35449,0.2945371,-6.0788503,-2.2323117,9.729137,1.7944996,-34.46579,-0.64205366,-5.2177463,14.881142,0.011985431,0.01001184,0.03339881,3.1496062,1.6064256,0.26749998,0.10280442,0.266,0.19376273,-34.44607,audio/S/p250_476_mic2.wav,p250,476,female,sheep,sheep
34.55701,0.09041093,33.984684,35.0285,37.014763,3.030079,197.11917,221.00165,18.360767,14.713985,0.31318945,1.0078226,0.02357234,0.22997557,0.60910654,0.5855342,4.3411283,3.3554816,4.683602,3.4766657,0.089623585,1.1708812,8.44611,2.2500806,-2.225184,-5.998783,-2.4267085,-4.521272,-13.019841,-1.5669053,0.011031351,0.9032845,0.9148274,0.58796614,8.065358,0.44202226,-0.9585461,-10.543408,21.480183,0.41744763,710.89215,0.39081278,1366.625,0.20185527,-138.11984,-0.6461917,1767.8086,0.1715638,1159.177,0.37699,-127.24101,-0.6992285,2828.6782,0.112836495,1059.4574,0.31608513,-129.9684,-0.65745944,-8.747293,-0.76600105,20.772682,0.48610142,0.050211016,0.4574528,-0.016473325,-0.89218926,0.17698076,0.56428456,24.4445,0.5793598,-11.081585,-1.3967347,-7.931187,-1.5856465,-28.666613,-0.6757206,-6.5339694,16.922436,-0.005475427,0.014683493,0.03813791,2.3255816,2.7667985,0.12857142,0.06874976,0.185,0.23753946,-31.710192,audio/S/p240_302_mic2.wav,p240,302,female,goat,goat
28.668936,0.06956237,27.906862,28.998138,29.81871,1.9118481,317.57437,427.17212,34.438618,49.120995,0.24942832,1.116012,0.02541948,0.1413423,0.4471246,0.42170513,8.148121,3.8030837,6.4841256,2.8190153,0.068451524,1.3701394,12.559286,1.2057542,2.1653352,4.612051,15.450029,0.92472595,2.5427256,5.1742835,0.008200715,0.8580827,1.5235939,0.7315982,7.087778,0.27243075,-1.7392762,-2.0965345,17.114052,0.42964563,532.28815,0.4414831,1274.1118,0.1240918,-119.33403,-0.7941703,1638.1233,0.13937005,917.9283,0.32955167,-123.34416,-0.7103368,2573.2183,0.105362736,968.4771,0.25583535,-122.95317,-0.71719134,-10.654575,-0.51872957,17.376814,0.43571454,0.03342768,0.6491096,-0.009092891,-1.3983132,0.13078582,0.7645794,26.033197,0.3618891,-0.31216788,-39.084774,23.86997,0.66970557,-5.412966,-2.873028,-10.009686,20.766869,-0.016539285,0.019157475,0.025753358,3.8022816,1.9379846,0.20799999,0.20370567,0.23833333,0.30753952,-33.63382,audio/S/p273_384_mic2.wav,p273,384,male,sheep,sheep
33.21774,0.28021115,28.934196,31.060442,32.72439,3.7901917,340.27533,0,16.626015,0,0.23753367,1.247039,0.020761814,0.048930354,0.51897967,0.49821785,5.131715,3.563633,7.046145,3.2842607,0.069287814,1.4339602,5.7156587,2.913695,3.1006687,3.90912,11.402764,1.1216987,-0.5521141,-21.9338,0.018008066,1.3273133,1.6023958,0.5414046,5.368893,0.83511925,0.70118535,10.551405,11.447221,1.3864094,582.2777,0.40927967,1288.0015,0.18033634,-149.40877,-0.56022024,1627.5452,0.12133544,1034.8618,0.34374592,-146.21663,-0.56000185,2589.1453,0.077801414,996.27716,0.19445719,-143.07831,-0.58192354,-5.2440405,-2.3759646,11.917475,1.1543554,0.037485693,0.54525346,-0.012879096,-1.1422867,0.17918313,0.48701048,15.485547,1.422292,-1.1030868,-13.872707,19.598173,0.9774568,-13.86703,-0.64698255,-13.595902,24.707806,-0.020273685,0.018860051,0.023678174,2.8037386,2.3923447,0.118,0.12607934,0.23166665,0.31667107,-33.353878,audio/S/p231_266_mic2.wav,p231,266,female,goat,sheep
35.10574,0.04490181,32.965538,35.248306,36.741093,3.7755547,19.367842,17.002,18.347618,2.97149,0.28864944,1.0121738,0.023914577,0.2280583,0.5131935,0.4892789,5.060234,3.3982136,5.658599,3.2795033,0.07190585,1.2349935,3.4357266,4.9431195,-0.69479656,-18.085373,7.530902,1.8833581,-3.1385868,-3.2867985,0.008452021,1.2801976,0.9922447,0.82608086,8.257655,0.37426275,13.236603,0.89562076,15.04469,0.4126253,625.24365,0.48505285,1294.9502,0.21215239,-150.35194,-0.564118,1704.5671,0.13763992,840.5848,0.3410397,-135.78288,-0.6369732,2692.7676,0.093613714,1021.67206,0.22120494,-134.82594,-0.65105087,-4.988757,-1.1941328,12.095925,0.6383401,0.046985336,0.48727,-0.000168831,-73.26961,0.15447183,0.58327556,15.687916,0.8061084,-10.1161785,-1.3942419,18.125875,0.9195257,-13.198359,-0.6141028,-5.582642,16.141857,-0.004383112,0.017614039,0.030619862,2.8070176,2.142857,0.14999999,0.092736185,0.25285715,0.28788462,-33.80043,audio/S/p233_052_mic2.wav,p233,052,female,sheep,sheep
38.35839,0.05989272,36.175755,38.38054,40.415012,4.239258,113.92761,118.861,5.9541354,8.459316,0.23441169,0.9877318,0.023668112,0.1631572,0.43421248,0.41054437,6.1629796,4.335064,4.832107,1.56644,0.06772904,1.140168,9.62358,2.2717454,1.2282624,9.476474,-0.23060633,-57.183735,-14.6531315,-1.3969228,0.010558588,1.239785,0.86584455,0.6978669,10.907041,0.18842062,8.892909,0.6556132,28.507597,0.45827612,697.5644,0.3098284,1329.0337,0.14880581,-136.48033,-0.6678832,1789.0295,0.15883964,1134.7964,0.27101275,-128.15266,-0.664402,2815.5386,0.11232341,1011.52576,0.34266415,-129.12704,-0.6494793,-13.797802,-0.69358534,25.733343,0.42495838,0.051621508,0.3786689,-0.021977482,-0.9239338,0.12752564,0.5930699,28.240059,0.5056719,-1.9316443,-7.287141,-3.5857363,-4.958194,-33.013622,-0.52679783,-5.002073,16.165115,-0.002687404,0.01889662,0.029158212,3.3834589,1.9157089,0.202,0.119565874,0.24833333,0.2883526,-33.76875,audio/S/p240_035_mic2.wav,p240,035,female,goat,goat
28.260067,0.032028463,27.626678,27.98434,29.228754,1.6020756,18.492626,14.282836,4.389429,7.7323537,0.27034718,0.9160589,0.03411796,0.25070062,0.45129684,0.41717887,5.0229454,2.5959048,5.1124287,2.8563664,0.06822904,1.1017046,10.820042,1.6591016,-0.11650679,-88.37682,5.110408,2.427354,-3.8611484,-3.8822157,0.006784241,0.9628891,1.2037169,0.77847,6.579865,0.3666218,-6.104228,-0.6977572,14.259351,0.42728937,706.62585,0.3962996,1214.7953,0.14701308,-127.36458,-0.7233686,1726.6627,0.15780345,932.62555,0.24964361,-126.32433,-0.7031796,2752.4238,0.12507498,879.6777,0.22148652,-128.43533,-0.6711871,-7.484332,-0.5882498,16.900578,0.40750504,0.034960434,0.5178826,-0.002028126,-7.5659122,0.11753684,0.6470607,25.79238,0.42833963,-6.205555,-1.5932003,11.1441555,1.4559157,-5.5962205,-2.749036,-5.6661983,16.378325,-0.002083302,0.0162779,0.038592268,3.244838,2.6946108,0.13444445,0.084736325,0.21444444,0.26470575,-33.99069,audio/S/p273_002_mic2.wav,p273,002,male,sheep,sheep
