F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename,sid,uid,gender,target_human,target_asv,system
20.22499,0.08060381,18.079134,20.545818,21.757303,3.6781693,16.860643,8.724814,21.811623,7.280568,0.3002018,1.3738468,0.04355911,0.053002626,0.5127708,0.46921167,3.4183161,1.9889079,7.101699,5.316404,0.12866935,1.4445946,13.888842,1.0728612,7.212536,1.3306745,15.891183,0.8211542,7.0455155,1.1712431,0.023617867,0.6789435,1.1895384,0.7634007,3.1252873,0.41288984,3.121836,0.9081395,21.635075,0.37502474,511.06766,0.26102498,1270.7621,0.14289859,-148.31544,-0.5652501,1628.515,0.119494505,823.42914,0.27962905,-151.17798,-0.5215208,2665.616,0.07241361,914.9683,0.4015285,-152.0953,-0.5086411,-15.836631,-0.3811471,22.887833,0.26921833,-0.016913362,-1.0264267,-0.017738694,-0.78108674,0.29757115,0.51330745,32.761642,0.20320989,6.2825193,2.3403,19.28801,1.1184937,10.378132,1.1406958,-22.055588,33.426117,-0.043494407,0.014853111,0.06697715,1.6233766,0.990099,0.26999998,0.10198039,0.53749996,0.44274005,-27.295013,audio/Orig/p256_055_mic2.wav,p256,55,male,sheep,sheep,orig
32.774853,0.12573117,30.940208,33.30817,35.644573,4.704365,87.867516,53.077415,32.216778,28.672373,0.42639792,0.8578248,0.049463775,0.39352334,0.7514508,0.701987,10.69801,6.5064435,9.207574,4.186958,0.20780815,0.97907996,17.373167,1.0587192,5.067482,1.8476534,13.875363,1.1512684,-3.9822474,-3.283658,0.023870751,1.3004379,1.1200081,0.9260897,8.347112,0.3779842,8.051069,1.0894738,28.504799,0.22291021,598.51117,0.30075386,1342.4199,0.14966261,-127.44172,-0.7013623,1634.9341,0.13566963,992.6283,0.3420167,-131.4823,-0.628729,2798.6301,0.08496968,877.8011,0.48980674,-134.72144,-0.581941,-14.938004,-0.5414826,26.723215,0.3262751,0.026036642,0.7752458,-0.019164715,-0.72026044,0.3367192,0.5291431,34.49123,0.34355453,3.1629584,3.6430645,13.647987,1.5826893,-15.166391,-0.7940481,-13.531029,24.241442,-0.028370144,0.010761187,0.13170218,4.0935674,2.6706233,0.13666667,0.07859884,0.195,0.2573033,-25.360239,audio/Orig/p269_037_mic2.wav,p269,37,female,goat,sheep,orig
27.384676,0.07069685,25.864594,26.537735,29.336035,3.4714413,21.997938,9.968374,14.752554,9.689958,0.41726655,1.0596113,0.042567354,0.2652343,0.7754996,0.7329322,9.188911,4.5223427,8.169295,3.7900543,0.2309412,1.1633068,20.142025,0.8816083,4.3639297,3.1093445,16.439955,0.80994886,-0.40404126,-29.842968,0.02185743,0.893141,1.2749767,0.9385138,6.052143,0.4181644,3.3575501,1.5650318,23.609098,0.4205561,536.6179,0.4001381,1274.1453,0.17085461,-137.38707,-0.63643426,1621.197,0.18094629,1006.29126,0.31704232,-140.3233,-0.5829678,2659.5737,0.11124356,926.78766,0.3524102,-141.55006,-0.56443375,-18.038303,-0.50732774,27.384638,0.3723082,0.007939715,2.8266113,-0.020762265,-0.7404963,0.40892947,0.6425937,38.033016,0.22946201,1.6628375,10.847183,21.595755,0.68008757,-2.602885,-5.4108777,-18.388733,29.976643,-0.03449385,0.010351969,0.14614852,3.3333333,1.6949152,0.192,0.08084553,0.31333333,0.32927528,-24.743534,audio/Orig/p279_232_mic2.wav,p279,232,male,wolf,sheep,orig
36.002872,0.09571893,34.901787,36.39304,37.970978,3.069191,18.080425,1.7866906,34.036125,0.0,0.40957153,0.96683216,0.041487157,0.37082878,0.68489337,0.6434062,8.285425,5.4865785,7.94482,4.9649396,0.18338883,1.1396389,6.743639,2.7308102,7.522697,1.636864,4.9205837,3.06364,-3.331319,-4.3998814,0.019524157,0.7717013,1.4243315,0.9065906,7.7171135,0.38809532,4.4381347,1.6102029,24.689531,0.3714816,618.8946,0.3056726,1281.9343,0.15507264,-158.56598,-0.4784726,1617.57,0.108858354,946.96466,0.17045341,-154.68672,-0.48290142,2791.5906,0.053869765,859.4697,0.52283794,-157.43196,-0.4448786,-8.703313,-0.96001947,22.584316,0.46348363,0.011973646,2.1745822,-0.013514387,-0.98004276,0.42242146,0.46604466,25.118643,0.65048164,0.3583768,49.49276,-4.1564336,-3.87233,-17.592205,-0.6598208,-13.382566,23.605953,-0.036345623,0.012859516,0.10748462,3.0418253,2.7131784,0.08285714,0.05146824,0.23124999,0.24451162,-27.34848,audio/Orig/p240_302_mic2.wav,p240,302,female,goat,sheep,orig
29.102575,0.033070732,28.101646,29.128746,29.9924,1.8907528,49.66265,49.23765,14.177866,3.918016,0.24890736,0.9620192,0.045993708,0.16298404,0.44758105,0.40158734,6.614401,3.2945166,6.523616,3.8326833,0.14991368,1.1498797,19.534252,0.89698714,14.842303,0.66191715,20.737722,0.57356703,9.344803,0.97666353,0.021855239,1.4724534,1.4470955,0.94175756,8.067066,0.29291818,1.2165598,4.8392935,31.326569,0.26913938,572.13293,0.33919382,1399.1246,0.15804012,-132.0485,-0.66024363,1695.7611,0.15558304,1116.0332,0.33857542,-138.56883,-0.5617135,2778.398,0.11196412,1126.2631,0.32350957,-140.40157,-0.5368262,-25.65048,-0.29549438,34.476143,0.27377617,-0.009001599,-2.6061313,-0.01813893,-0.667393,0.27772516,0.67668164,39.640053,0.18009152,18.325737,0.59804106,26.224426,0.5565145,9.154439,1.2535901,-21.416342,31.984892,-0.050949063,0.015079347,0.07571715,4.089219,1.5151516,0.24,0.2009975,0.318,0.32670474,-26.788877,audio/Orig/p273_384_mic2.wav,p273,384,male,sheep,sheep,orig
35.376156,0.046556044,33.281147,35.458164,37.0409,3.7597542,104.851425,108.6128,30.72477,11.157812,0.42792854,1.1915607,0.047638904,0.23131554,0.7861845,0.7385456,8.98863,5.4989433,8.801723,5.4936476,0.19994439,1.3871379,11.121824,1.5400587,5.7956796,2.1036725,14.963883,0.7065604,-1.0581852,-13.2818775,0.011587095,1.4556314,0.6716197,0.7291326,9.586921,0.3677068,11.130807,0.95143855,25.460617,0.2270476,590.0519,0.21142855,1331.899,0.12105324,-141.6587,-0.6093511,1758.9967,0.10455318,927.1701,0.3208572,-143.60497,-0.5558765,2759.934,0.07303712,925.9711,0.29880577,-144.45625,-0.5437563,-15.577046,-0.484441,22.399199,0.2911381,0.026437718,1.2498714,-0.023475662,-0.6078798,0.45007882,0.7595862,28.824062,0.53349197,0.34319708,50.751217,19.618202,0.7088837,-15.803305,-0.736536,-18.340714,29.351513,-0.037886888,0.01433272,0.084910735,2.4054985,2.097902,0.14333333,0.09758188,0.26714283,0.30555403,-23.293371,audio/Orig/p233_052_mic2.wav,p233,52,female,sheep,sheep,orig
38.559322,0.062322944,36.25133,38.381268,40.652794,4.4014626,146.07558,122.51356,11.85165,9.1701975,0.42778563,0.9757438,0.046500813,0.28692067,0.85546064,0.80895984,10.469331,6.9447737,10.966254,6.188651,0.19029081,1.161848,14.464522,1.3231684,7.569384,1.2771893,7.5895247,1.7247274,-6.3994064,-3.6441956,0.012920798,0.8710672,0.7918433,0.8048134,11.18236,0.22095971,9.243605,0.6993819,29.697098,0.31831762,620.32355,0.30777904,1355.135,0.13848862,-134.06001,-0.6618276,1668.6094,0.16615811,1131.2189,0.42456934,-131.71738,-0.623487,2796.3254,0.090905614,936.7842,0.5525519,-133.75142,-0.59396094,-17.264383,-0.39530164,29.096329,0.2908296,0.028444491,0.95941436,-0.028189274,-0.57735956,0.3600278,0.5843462,32.99618,0.37569118,3.8181422,3.2546186,0.9160895,15.653737,-30.069252,-0.68467975,-21.229866,33.02013,-0.051839393,0.017163523,0.07981767,3.6764705,1.8726593,0.204,0.11993331,0.25666666,0.30109063,-23.998426,audio/Orig/p240_035_mic2.wav,p240,35,female,goat,sheep,orig
28.743137,0.058331273,27.784428,28.199074,29.39861,1.6141815,103.141685,44.23577,31.328182,32.169487,0.3413068,0.8393663,0.08127892,0.28407475,0.60234934,0.5210704,8.124127,4.917104,7.4749804,4.0100636,0.17120017,1.0715395,20.568192,0.9118438,6.845825,1.7430667,11.32342,1.1485807,4.1770306,3.3226802,0.018903686,0.96548104,1.1483629,1.1331966,7.672696,0.30863097,3.8971355,1.9368607,28.069809,0.308784,525.8319,0.3099175,1360.6248,0.12529062,-143.44173,-0.5685354,1588.7125,0.15426466,1048.0853,0.22944506,-146.62317,-0.5160055,2673.7214,0.0981893,976.57715,0.23090112,-148.54335,-0.49109396,-21.304585,-0.3391427,30.597576,0.27454677,-0.009719199,-2.3999147,-0.019475365,-0.8528846,0.30825564,0.7337137,41.271084,0.15518454,10.236375,1.2796767,18.911144,0.81987375,12.086477,1.3708556,-13.080436,24.844904,-0.028327124,0.009107134,0.11253562,4.0697675,2.359882,0.125,0.07762087,0.24666665,0.29518357,-26.693691,audio/Orig/p273_002_mic2.wav,p273,2,male,sheep,sheep,orig
21.157228,0.07068416,20.03259,21.245577,22.290085,2.257494,124.42169,74.02195,26.872751,18.276865,0.39475545,0.9942342,0.050129898,0.30324957,0.77792275,0.72779286,9.633193,5.1126566,6.1576567,2.647448,0.16321065,1.1135368,15.1536,0.97317743,5.0059247,2.0101142,14.686042,1.1231737,4.4251385,2.113058,0.015690371,1.1643393,1.4862707,1.0647823,4.005606,0.55123115,1.501915,2.4434717,20.321024,0.34264815,424.29834,0.22153254,1269.2767,0.1574263,-140.34225,-0.623701,1510.7281,0.09099245,808.2258,0.35625362,-145.73651,-0.546399,2572.7903,0.053442083,867.22595,0.27315736,-146.09186,-0.5431056,-14.464739,-0.2463355,21.815441,0.25991508,-0.006280032,-2.8513033,-0.013742513,-0.82913965,0.35074753,0.5767521,30.154797,0.28679585,7.5693073,1.1399708,24.051981,0.9638305,5.6762686,2.1428518,-16.605137,29.232752,-0.03505667,0.012331586,0.08406678,3.0395138,2.1604939,0.13142857,0.092955984,0.27124998,0.2994761,-25.58808,audio/Orig/p256_043_mic2.wav,p256,43,male,sheep,sheep,orig
35.548286,0.073364735,33.98053,35.83596,36.87227,2.891739,-1.3783811,23.43712,12.147091,5.6245446,0.4475772,0.9467439,0.062114134,0.3302809,0.80886394,0.7467498,10.531739,6.2067637,8.077371,4.4328475,0.21033119,1.0332676,16.555319,0.9477805,5.835488,1.9634897,12.143053,1.2196095,-1.6379236,-10.205983,0.013295748,1.0315758,0.87067556,1.1101129,10.187383,0.30972314,8.428875,1.1112676,25.85715,0.2944825,616.89026,0.28302157,1378.5004,0.14513054,-143.57733,-0.5852686,1699.0071,0.14681503,1042.0647,0.33332723,-142.14178,-0.56213504,2770.9788,0.089174606,880.71954,0.29120305,-143.58139,-0.54234725,-17.288393,-0.40158492,27.18707,0.2907752,0.024256812,1.410203,-0.023668364,-0.73932093,0.37380394,0.6017511,32.242584,0.27592197,5.295332,2.3029518,10.640437,1.8942298,-16.275154,-1.1152177,-16.9461,27.44438,-0.036525622,0.010343781,0.13000843,4.043546,1.8808779,0.16833334,0.08019074,0.31615385,0.32044533,-23.540619,audio/Orig/p228_004_mic2.wav,p228,4,female,lamb,sheep,orig
